lon,lat
-112.81764705882354, 41.223320158102766
-112.8045751633987, 41.19762845849802
-112.781045751634, 41.179841897233196
-112.76797385620915, 41.16403162055336
-112.76274509803922, 41.140316205533594
-112.76274509803922, 41.12252964426877
-112.76274509803922, 41.09288537549407
-112.76013071895426, 41.073122529644266
-112.75751633986928, 41.0494071146245
-112.74444444444445, 41.02766798418972
-112.72875816993465, 41.01581027667984
-112.7156862745098, 41.00197628458498
-112.70522875816994, 40.98616600790513
-112.69215686274511, 40.972332015810274
-112.67908496732026, 40.966403162055336
-112.6764705882353, 40.994071146245055
-112.6686274509804, 41.01581027667984
-112.65294117647059, 41.03162055335968
-112.63986928104576, 41.05335968379446
-112.62679738562092, 41.073122529644266
-112.60849673202615, 41.08498023715415
-112.5797385620915, 41.08498023715415
-112.56928104575164, 41.069169960474305
